date,strategy,period,ls_ret,ls_ret_gross,ls_ret_pre_capeff,long_ret,short_pnl,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,tc_cost_monthly,borrow_cost_monthly,rebate_monthly,net_financing_monthly,rf_rate,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
2017-11-01,A_Value,oos,-0.002997,-0.00325,-0.004496,0.012073,-0.016568,0.070524,0.047016,0.05877,553.0,553.0,0.011596,0.000588,0.00125,0.000592,-0.000658,0.0008,6.336347,2.321881,1.318688,-0.002997,0.03526,0.021246,-0.009018,0.241601,0.318688,0.059891,0.09061,-0.024308,-0.034357,-0.054133,-0.246524,1.057129,-0.485113,3.141168,-0.262491,1.837881,0.666667,0.5,0.416667
2017-12-01,A_Value,oos,-0.012111,-0.017051,-0.018167,0.027813,-0.04598,0.064748,0.046763,0.055755,556.0,556.0,0.025585,0.000558,0.00125,0.000692,-0.000558,0.0009,6.347122,2.338129,1.302717,-0.012111,-0.006783,-0.002139,-0.000552,0.129669,0.302717,0.057396,0.090077,-0.018017,-0.024308,-0.054133,-0.121091,0.985284,-0.251021,2.930994,-0.022707,1.702326,0.333333,0.333333,0.416667
2018-01-01,A_Value,oos,-0.003763,-0.003736,-0.005644,-0.046812,0.041168,0.18638,0.123656,0.155018,558.0,558.0,-0.04168,0.00155,0.00125,0.000892,-0.000358,0.0011,6.401434,2.44086,1.297815,-0.003763,-0.018778,0.000516,0.016653,0.091094,0.330879,0.053076,0.08827,-0.018778,-0.024308,-0.054133,0.173045,1.079699,0.39279,3.372074,0.685071,1.846673,0.0,0.333333,0.416667
2018-02-01,A_Value,oos,0.013236,0.020679,0.019855,0.005926,0.013929,0.037634,0.055556,0.046595,558.0,558.0,0.002145,0.000466,0.00125,0.000892,-0.000358,0.0011,6.430108,2.451613,1.314994,0.013236,-0.002802,0.032359,0.044762,0.110676,0.333545,0.05136,0.088301,-0.018778,-0.024308,-0.054133,0.693803,1.083022,1.604576,3.382958,1.841424,1.860234,0.333333,0.5,0.5
2018-03-01,A_Value,oos,-0.009389,-0.013394,-0.014084,0.002457,-0.016541,0.028777,0.057554,0.043165,556.0,556.0,0.009305,0.000432,0.00125,0.000992,-0.000258,0.0012,6.428058,2.482014,1.302647,-0.009389,-5.4e-05,-0.006836,0.017771,0.122729,0.312708,0.050751,0.088888,-0.018778,-0.024308,-0.054133,0.168987,1.011961,0.386481,3.196731,0.731049,1.753775,0.333333,0.333333,0.416667
2018-04-01,A_Value,oos,-0.031228,-0.046325,-0.046842,0.016965,-0.063807,0.05036,0.041367,0.045863,556.0,556.0,0.038296,0.000459,0.00125,0.001192,-5.8e-05,0.0014,6.377698,2.496403,1.261968,-0.031228,-0.027621,-0.045881,-0.033305,0.086951,0.281159,0.056051,0.091327,-0.043013,-0.045881,-0.054133,-0.771928,0.891629,-1.284553,2.552784,-0.725912,1.59042,0.333333,0.166667,0.333333
2018-05-01,A_Value,oos,-0.001555,0.007272,-0.002332,-0.002659,0.000326,1.0,0.909149,0.954575,557.0,1563.0,0.003047,0.009546,0.00125,0.001192,-5.8e-05,0.0014,6.052065,0.753039,1.260005,-0.001555,-0.041816,-0.044501,-0.0242,0.05531,0.28543,0.055339,0.091196,-0.041816,-0.047364,-0.054133,-0.628042,0.899342,-1.024998,2.567654,-0.510937,1.612685,0.0,0.166667,0.333333
2018-06-01,A_Value,oos,0.021014,0.038818,0.03152,0.011462,0.020058,0.730216,0.717626,0.723921,556.0,556.0,0.006793,0.007239,0.00125,0.001192,-5.8e-05,0.0014,6.314748,2.498201,1.286482,0.021014,-0.012409,-0.012462,-0.014575,0.084251,0.29562,0.058685,0.091484,-0.041816,-0.047364,-0.054133,-0.439069,0.921114,-0.756109,2.636432,-0.30771,1.665622,0.333333,0.333333,0.333333
2018-07-01,A_Value,oos,-0.033587,-0.04615,-0.050381,0.002122,-0.052503,0.507168,0.367384,0.437276,558.0,558.0,0.022615,0.004373,0.00125,0.001392,0.000142,0.0016,6.232975,2.258065,1.243273,-0.033587,-0.014814,-0.042026,-0.041531,0.057182,0.230011,0.067067,0.094272,-0.054541,-0.060015,-0.065692,-0.799249,0.706134,-1.23321,1.87489,-0.692015,1.087566,0.333333,0.333333,0.333333
2018-08-01,A_Value,oos,0.002536,0.004298,0.003805,-0.012376,0.016181,0.060823,0.06619,0.063506,559.0,559.0,-0.015207,0.000635,0.00125,0.001392,0.000142,0.0016,5.937388,1.928444,1.246427,0.002536,-0.010777,-0.052142,-0.02147,0.086039,0.182544,0.065291,0.091735,-0.045579,-0.060015,-0.065692,-0.518054,0.574799,-0.779485,1.484628,-0.357751,0.875002,0.666667,0.333333,0.416667
2018-09-01,A_Value,oos,0.045435,0.068531,0.068152,-0.078833,0.146985,0.028623,0.055456,0.042039,559.0,559.0,-0.09129,0.00042,0.00125,0.001292,4.2e-05,0.0015,6.11449,2.264758,1.303058,0.045435,0.012884,0.000316,-0.006523,0.072704,0.216187,0.074741,0.094459,-0.033587,-0.060015,-0.065692,-0.25278,0.655676,-0.432862,1.740377,-0.108688,1.026235,0.666667,0.5,0.416667
2018-10-01,A_Value,oos,0.028698,0.043298,0.043048,0.008498,0.034549,0.06295,0.07554,0.069245,556.0,556.0,-0.00031,0.000692,0.00125,0.001692,0.000442,0.0019,6.188849,2.303957,1.340453,0.028698,0.078165,0.062193,0.013459,0.055721,0.282496,0.079905,0.093598,-0.033587,-0.057189,-0.065692,0.004884,0.843747,0.00891,2.289638,0.235337,1.31633,1.0,0.666667,0.416667
2018-11-01,A_Value,oos,0.049185,0.074275,0.073777,-0.099305,0.173082,0.088448,0.079422,0.083935,554.0,554.0,-0.107556,0.000839,0.00125,0.001592,0.000342,0.0018,6.149819,2.229242,1.406383,0.049185,0.128332,0.116172,0.066502,0.056884,0.32417,0.092801,0.096567,-0.033587,-0.054541,-0.065692,0.558295,0.927097,1.165106,2.59014,1.219311,1.493567,1.0,0.833333,0.5
2018-12-01,A_Value,oos,-0.030496,-0.044164,-0.045745,0.122725,-0.16847,0.279412,0.125,0.202206,544.0,544.0,0.115712,0.002022,0.00125,0.001692,0.000442,0.0019,6.077206,2.286765,1.363493,-0.030496,0.04638,0.059862,0.046654,0.046076,0.182372,0.098309,0.087445,-0.030496,-0.054541,-0.065692,0.327803,0.574574,0.639184,1.351401,0.855393,0.874221,0.666667,0.666667,0.5
2019-01-01,A_Value,oos,-0.006664,-0.002934,-0.009996,0.03251,-0.042506,0.747731,0.793023,0.770377,551.0,1720.0,0.042005,0.007704,0.00125,0.001892,0.000642,0.0021,5.77677,0.701744,1.354407,-0.006664,0.01041,0.089388,0.043605,0.060985,0.138672,0.098607,0.086247,-0.036957,-0.054541,-0.065692,0.286889,0.427846,0.564782,1.000889,0.799506,0.673416,0.333333,0.666667,0.5
2019-02-01,A_Value,oos,-0.027777,-0.041756,-0.041665,-0.033531,-0.008134,0.025408,0.024884,0.025146,551.0,1728.0,-0.009262,0.000251,0.00125,0.001592,0.000342,0.0018,5.865699,0.695023,1.316786,-0.027777,-0.063708,0.056449,0.001363,0.046186,0.11219,0.102824,0.08805,-0.063708,-0.063708,-0.065692,-0.130622,0.325086,-0.257308,0.739641,0.021392,0.549219,0.0,0.5,0.416667
2019-03-01,A_Value,oos,0.014406,0.021417,0.02161,0.027069,-0.005459,0.02,0.029748,0.024874,550.0,1748.0,0.019792,0.000249,0.00125,0.001692,0.000442,0.0019,5.905455,0.695652,1.335756,0.014406,-0.020343,0.025093,0.025417,0.043639,0.151265,0.103077,0.087167,-0.063708,-0.063708,-0.065692,0.093776,0.452972,0.179995,1.026761,0.398962,0.731805,0.333333,0.5,0.5
2019-04-01,A_Value,oos,-0.033949,-0.051022,-0.050924,-0.106066,0.055142,0.07441,0.034149,0.05428,551.0,1757.0,-0.070538,0.000543,0.00125,0.001892,0.000642,0.0021,5.882033,0.700626,1.290408,-0.033949,-0.047252,-0.037334,0.022537,-0.011519,0.111447,0.104079,0.089899,-0.082463,-0.082463,-0.082463,0.059857,0.303435,0.113062,0.662873,0.273295,0.434723,0.333333,0.333333,0.5
2019-05-01,A_Value,oos,0.021861,0.036577,0.032792,0.065284,-0.032492,0.531876,0.35337,0.442623,549.0,549.0,0.050019,0.004426,0.00125,0.001892,0.000642,0.0021,6.145719,2.247723,1.318619,0.021861,0.001392,-0.062404,0.046518,0.021192,0.104401,0.105761,0.089352,-0.053601,-0.082463,-0.082463,0.273287,0.274166,0.518586,0.594234,0.564109,0.408121,0.666667,0.333333,0.583333
2019-06-01,A_Value,oos,0.029837,0.044903,0.044756,-0.001513,0.046268,0.041742,0.056159,0.048951,551.0,552.0,-0.005683,0.00049,0.00125,0.001592,0.000342,0.0018,6.166969,2.280797,1.357962,0.029837,0.016625,-0.004057,0.055562,0.040178,0.144494,0.107641,0.090482,-0.047252,-0.082463,-0.082463,0.346845,0.397514,0.669414,0.865074,0.673781,0.558006,0.666667,0.5,0.583333
