date,strategy,ls_ret,ls_ret_gross,long_ret,short_ret,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
2013-08-01,HML_Passive,-0.0273,-0.0273,-0.0273,0.0,,,,,,,,,0.895338,-0.0273,-0.022148,0.00616,0.099136,0.101075,-0.013138,0.062928,0.059939,-0.0273,-0.0273,-0.111058,1.532233,-0.05229,3.481703,-0.094621,3.631346,-0.039606,0.333333,0.5,0.666667
2013-09-01,HML_Passive,-0.0118,-0.0118,-0.0118,0.0,,,,,,,,,0.884773,-0.0118,-0.033203,-0.00352,0.068851,0.104988,0.005586,0.065165,0.057683,-0.038778,-0.038778,-0.111058,1.050827,0.052615,2.38685,0.100364,1.775512,0.016735,0.333333,0.5,0.583333
2013-10-01,HML_Passive,0.0122,0.0122,0.0122,0.0,,,,,,,,,0.895567,0.0122,-0.027051,0.004218,0.045103,0.117799,0.043525,0.057415,0.056131,-0.038778,-0.038778,-0.111058,0.792968,0.273368,1.587744,0.540039,1.16311,0.128787,0.333333,0.5,0.583333
2013-11-01,HML_Passive,0.0019,0.0019,0.0019,0.0,,,,,,,,,0.897269,0.0019,0.002157,-0.020039,0.056172,0.125776,0.055003,0.055879,0.055796,-0.038778,-0.038778,-0.111058,1.005019,0.3408,1.969143,0.666614,1.448551,0.16215,0.666667,0.5,0.666667
2013-12-01,HML_Passive,0.0,0.0,0.0,0.0,,,,,,,,,0.897269,0.0,0.014123,-0.019549,0.020653,0.108702,0.018736,0.045241,0.052019,-0.038778,-0.038778,-0.111058,0.473018,0.137855,0.751153,0.251442,0.532597,0.055886,0.666667,0.5,0.583333
2014-01-01,HML_Passive,-0.0199,-0.0199,-0.0199,0.0,,,,,,,,,0.879413,-0.0199,-0.018038,-0.044601,-0.00966,0.09684,-0.007591,0.049014,0.053233,-0.0199,-0.044601,-0.111058,-0.175458,-0.027569,-0.264594,-0.049712,-0.216598,-0.022841,0.333333,0.333333,0.5
2014-02-01,HML_Passive,-0.0035,-0.0035,-0.0035,0.0,,,,,,,,,0.876335,-0.0035,-0.02333,-0.021224,-0.015195,0.08843,-0.022598,0.048983,0.052792,-0.02333,-0.047945,-0.094395,-0.289895,-0.12382,-0.442582,-0.222762,-0.316922,-0.080407,0.0,0.333333,0.416667
2014-03-01,HML_Passive,0.049,0.049,0.049,0.0,,,,,,,,,0.919276,0.049,0.024526,0.038996,0.035338,0.128335,0.044514,0.070052,0.058949,-0.02333,-0.047945,-0.071745,0.528182,0.270981,1.141969,0.558749,0.737067,0.203821,0.333333,0.5,0.5
2014-04-01,HML_Passive,0.0122,0.0122,0.0122,0.0,,,,,,,,,0.930491,0.0122,0.058082,0.038996,0.043379,0.150963,0.083699,0.070643,0.057229,-0.02333,-0.047945,-0.054249,0.634172,0.492373,1.382709,1.064805,0.904766,0.500577,0.666667,0.5,0.5
2014-05-01,HML_Passive,-0.001,-0.001,-0.001,0.0,,,,,,,,,0.92956,-0.001,0.060736,0.035989,0.015229,0.16084,0.103022,0.066104,0.055919,-0.02333,-0.047945,-0.052354,0.258683,0.608265,0.530423,1.345706,0.317631,0.634617,0.666667,0.333333,0.416667
